 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 34560.0  3456.0 20992.0 20224.0               0.809   2.082   2.604   2.639
 34496.0  3456.0 21056.0 20224.0               0.748   2.075   2.598   2.623
 34560.0  3456.0 21056.0 20288.0               0.773   2.066   2.578   2.623
 34560.0  3264.0 20992.0 20288.0               0.806   2.046   2.604   2.617
 34560.0  3328.0 21056.0 20288.0               0.828   2.063   2.575   2.627
 34560.0  3456.0 21120.0 20288.0               0.838   2.053   2.598   2.614
 34560.0  3456.0 21184.0 20224.0               0.835   2.066   2.610   2.607
 34496.0  3456.0 21120.0 20224.0               0.815   2.075   2.559   2.643
 34560.0  3392.0 21120.0 20288.0               0.809   2.079   2.601   2.636
 34560.0  3392.0 21120.0 20288.0               0.851   2.069   2.614   2.643
 34624.0  3520.0 21056.0 20288.0               0.770   2.079   2.591   2.627
 34560.0  3584.0 21120.0 20288.0               0.831   2.050   2.604   2.633
 34624.0  3584.0 21184.0 20288.0               0.773   2.072   2.585   2.643
 34624.0  3456.0 21184.0 20288.0               0.796   2.066   2.607   2.627
 34624.0  3456.0 21248.0 20288.0               0.851   2.059   2.594   2.623
 34752.0  3456.0 21184.0 20352.0               0.767   2.072   2.591   2.623
 34752.0  3264.0 21184.0 20352.0               0.819   2.085   2.591   2.604
 34752.0  3712.0 21376.0 20416.0               0.828   2.075   2.598   2.620
 34816.0  3712.0 21312.0 20480.0               0.841   2.069   2.604   2.633
 34880.0  4096.0 21376.0 20608.0               0.831   2.046   2.617   2.617
 34880.0  4544.0 21440.0 20800.0               0.835   2.075   2.604   2.646
 34816.0  4608.0 21376.0 20928.0               0.783   2.063   2.610   2.639
 34688.0  4864.0 21376.0 20800.0               0.719   2.053   2.607   2.636
 34688.0  5376.0 21248.0 20992.0               0.780   2.050   2.594   2.639
 34624.0  5696.0 21312.0 20992.0               0.741   2.053   2.594   2.614
 34496.0  5888.0 21312.0 21056.0               0.767   2.056   2.607   2.598
 34304.0  6336.0 21312.0 21248.0               0.822   2.053   2.598   2.617
 34240.0  6464.0 21376.0 21312.0               0.809   2.066   2.598   2.617
 34112.0  6464.0 21376.0 21248.0               0.809   2.059   2.623   2.601
 34112.0  6656.0 21312.0 21440.0               0.796   2.069   2.617   2.598
 34112.0  6784.0 21120.0 21504.0               0.867   2.053   2.623   2.646
 34048.0  6720.0 20736.0 21568.0               0.844   2.079   2.623   2.639
 33984.0  6848.0 20352.0 21504.0               0.777   2.059   2.620   2.607
 34048.0  6976.0 20352.0 21696.0               0.709   2.059   2.620   2.639
 33984.0  6976.0 20288.0 21760.0               0.831   2.037   2.601   2.639
 33856.0  7296.0 20224.0 21888.0               0.741   2.059   2.585   2.633
 33856.0  7488.0 20288.0 21952.0               0.815   2.059   2.617   2.623
 33728.0  7232.0 20288.0 21952.0               0.854   2.034   2.588   2.620
 33728.0  7552.0 20224.0 22080.0               0.848   2.063   2.607   2.610
 33664.0  7552.0 20032.0 22080.0               0.857   2.053   2.607   2.610
 33600.0  7552.0 19776.0 22144.0               0.802   2.066   2.627   2.636
 33536.0  7552.0 19968.0 21952.0               0.867   2.063   2.578   2.643
 33472.0  7552.0 19776.0 22016.0               0.815   2.046   2.630   2.636
 33408.0  7616.0 19712.0 21952.0               0.761   2.056   2.630   2.646
 33344.0  7744.0 19648.0 21952.0               0.757   2.034   2.607   2.627
 33024.0  8320.0 19712.0 21760.0               0.786   2.021   2.604   2.633
 32960.0  7616.0 19712.0 21760.0               0.764   2.040   2.594   2.633
 32768.0  8192.0 19776.0 21952.0               0.799   2.017   2.604   2.623
 32576.0  8192.0 19712.0 22080.0               0.754   2.024   2.617   2.630
 32576.0  8192.0 19520.0 22144.0               0.719   2.040   2.643   2.610
 32384.0  7680.0 19456.0 22272.0               0.848   2.034   2.623   2.633
 32256.0  7744.0 19584.0 22144.0               0.799   2.046   2.633   2.601
 32128.0  7808.0 19648.0 22144.0               0.864   2.043   2.623   2.623
 32064.0  7872.0 19648.0 22208.0               0.686   2.056   2.623   2.627
 32000.0  8448.0 19584.0 22336.0               0.744   2.021   2.623   2.636
 32064.0  8448.0 19584.0 22272.0               0.709   1.998   2.598   2.649
 31936.0  8576.0 19456.0 22272.0               0.764   2.037   2.607   2.627
 31872.0  8384.0 19392.0 22464.0               0.809   2.021   2.607   2.601
 31872.0  8640.0 19392.0 22528.0               0.851   2.021   2.610   2.614
 31808.0  8768.0 19456.0 22592.0               0.854   2.037   2.617   2.627
 31808.0  8896.0 19712.0 22656.0               0.841   2.021   2.623   2.614
 31744.0  8768.0 19840.0 22720.0               0.712   2.043   2.620   2.630
 31680.0  8832.0 19968.0 22656.0               0.828   2.037   2.591   2.643
 31616.0  8832.0 20032.0 22720.0               0.809   2.034   2.614   2.643
 31680.0  8896.0 19968.0 22784.0               0.786   2.037   2.604   2.633
 31808.0  8832.0 20032.0 22784.0               0.819   2.037   2.627   2.627
 31872.0  8960.0 20032.0 22784.0               0.741   2.050   2.623   2.646
 31872.0  8768.0 20096.0 22848.0               0.815   2.005   2.610   2.646
 31936.0  8832.0 20096.0 22848.0               0.725   2.053   2.601   2.627
 31936.0  9088.0 20096.0 22784.0               0.806   2.034   2.620   2.614
 31936.0  9024.0 20096.0 22848.0               0.812   2.046   2.620   2.646
 32000.0  8384.0 20096.0 22912.0               0.696   2.037   2.610   2.623
 32128.0  8448.0 20160.0 23040.0               0.780   2.037   2.627   2.636
 32192.0  9152.0 20096.0 23040.0               0.819   2.037   2.627   2.604
 32384.0  9216.0 20096.0 23040.0               0.790   2.046   2.630   2.610
 32384.0  9472.0 19904.0 23040.0               0.703   2.043   2.614   2.652
 32384.0  9280.0 19712.0 23104.0               0.732   2.037   2.617   2.636
 32448.0  9408.0 19712.0 23168.0               0.767   2.046   2.604   2.639
 32448.0  8704.0 19584.0 23232.0               0.741   2.053   2.585   2.627
 32320.0  9408.0 19392.0 23232.0               0.825   2.027   2.620   2.623
 32384.0  9472.0 19264.0 23232.0               0.831   2.017   2.617   2.630
 32384.0  9472.0 19264.0 23232.0               0.819   2.050   2.617   2.639
 32320.0  9536.0 19136.0 23232.0               0.709   2.034   2.614   2.614
 32256.0  9664.0 19008.0 23232.0               0.822   2.050   2.627   2.630
 32320.0  9344.0 18944.0 23296.0               0.761   2.037   2.623   2.646
 32256.0  9280.0 18944.0 23232.0               0.831   2.050   2.623   2.643
 32320.0  9408.0 19008.0 23232.0               0.831   2.059   2.610   2.633
 32256.0  9216.0 19072.0 23360.0               0.796   2.050   2.604   2.646
 32192.0  9280.0 19008.0 23296.0               0.738   2.037   2.585   2.617
 32256.0  9152.0 19136.0 23296.0               0.764   2.040   2.601   2.633
 32128.0  9280.0 19136.0 23296.0               0.802   2.034   2.607   2.639
 32064.0  9408.0 19520.0 23296.0               0.793   2.050   2.588   2.633
 31936.0  9280.0 19712.0 23296.0               0.848   2.043   2.607   2.633
 31744.0  9216.0 19392.0 23360.0               0.751   2.050   2.627   2.633
 31744.0  9344.0 19456.0 23360.0               0.838   2.050   2.617   2.601
 31616.0  9216.0 19392.0 23360.0               0.735   2.024   2.610   2.627
 31424.0  9280.0 19456.0 23424.0               0.754   2.011   2.607   2.646
 31296.0  9280.0 19392.0 23424.0               0.670   2.014   2.617   2.636
 31232.0  9408.0 19712.0 23360.0               0.761   2.037   2.617   2.610
 31232.0  9472.0 19712.0 23424.0               0.806   2.017   2.601   2.598
 31040.0  9408.0 19712.0 23424.0               0.783   2.021   2.591   2.627
 31040.0  9600.0 19712.0 23424.0               0.806   2.037   2.614   2.623
 31104.0  9536.0 19776.0 23424.0               0.802   2.027   2.617   2.617
 31040.0  9600.0 19840.0 23424.0               0.786   2.001   2.610   2.639
 31104.0  9536.0 19968.0 23488.0               0.799   2.040   2.617   2.643
 31040.0  9536.0 19904.0 23424.0               0.802   2.037   2.620   2.617
 30976.0  9600.0 19904.0 23424.0               0.770   2.034   2.614   2.627
 31168.0  9600.0 19904.0 23488.0               0.645   2.011   2.617   2.627
 31232.0  9728.0 19904.0 23552.0               0.767   1.995   2.598   2.636
 31168.0  9280.0 19968.0 23616.0               0.699   2.040   2.588   2.620
 31168.0  9536.0 19968.0 23488.0               0.793   2.014   2.614   2.604
 31168.0  9792.0 20032.0 23616.0               0.725   2.001   2.598   2.620
 31104.0  9536.0 19968.0 23552.0               0.815   2.024   2.594   2.614
 31168.0  9472.0 20032.0 23488.0               0.677   2.034   2.627   2.630
 31424.0  9600.0 19968.0 23488.0               0.767   2.046   2.627   2.594
 31424.0  9344.0 19904.0 23488.0               0.780   2.043   2.610   2.620
 31360.0  9216.0 19904.0 23552.0               0.767   2.034   2.620   2.604
 31424.0  9280.0 19904.0 23488.0               0.761   2.021   2.617   2.639
 31424.0  9280.0 19776.0 23552.0               0.651   2.021   2.614   2.636
 31424.0  9408.0 19712.0 23552.0               0.777   1.992   2.610   2.623
 31488.0  9408.0 19776.0 23488.0               0.767   2.017   2.617   2.604
 31552.0  9728.0 19584.0 23552.0               0.767   2.011   2.604   2.614
 31552.0  9472.0 19584.0 23488.0               0.806   2.030   2.588   2.620
 31616.0  9536.0 19584.0 23552.0               0.815   1.995   2.607   2.627
 31616.0  9408.0 19712.0 23552.0               0.812   2.011   2.607   2.636
 31616.0  9472.0 19648.0 23616.0               0.748   2.014   2.614   2.627
 31680.0  9344.0 19840.0 23616.0               0.777   2.027   2.617   2.604
 31744.0  9344.0 19776.0 23552.0               0.741   2.024   2.601   2.636
 31744.0  9344.0 19584.0 23552.0               0.680   2.027   2.601   2.630
